beınsport-beın sport
şövalyeve-şövalye ve
eğeraynı-eğer aynı
kedisever-kedi sever
samican-sami can
söğütlübahçe-söğütlü bahçe
hamtuz-ham tuz
dronetürk-drone türk
einsteinmı-einstein mı
eğitimiş-eğitim iş
kazıevinin-kazı evinin
olmayanbirine-olmayan birine
sonundabenim-sonunda benim
eskitürk-eski türk
eğitimkurumlarından-eğitim kurumlarından
yooistanbul-yoo istanbul
factorygibi-factory gibi
nuripamir-nuri pamir
kediseven-kedi seven
vermeile-verme ile
michaelile-michael ile
sorunyok-sorun yok
londraparis-londra paris
barışbey-barış bey
arsadabulundu-arsada bulundu
incilerve-inciler ve
makabi-maka bi
üniversitesanayi-üniversite sanayi
altmışaltıncı-altmış altıncı
müzayedeevinde-müzayede evinde
rolldeğil-roll değil
ztipi-z tipi
tahsincan-tahsin can
devrive-devri ve
doğruolup-doğru olup
tıkeyi-tık eyi
nikahşekerleri-nikah şekerleri
mıdiye-mı diye
isimsizlerdizisinde-isimsizler dizisinde
düşişleri-düş işleri
anıldeniz-anıl deniz
böyleolaylar-böyle olaylar
oktayusta-oktay usta
rockmı-rock mı
mustafayumlu-mustafa yumlu
beyazışık-beyaz ışık
amatabi-ama tabi
kızılkule-kızıl kule
yürüyüşüdiye-yürüyüşü diye
heraile-hera ile
kurubuz-kuru buz
yoğunbakımdaki-yoğun bakımdaki
birkitap-bir kitap
güneyosetya-güney osetya
cokhoş-cok hoş
smartpro-smart pro
sizbakmayın-siz bakmayın
cobrayada-cobra yada
özelders-özel ders
dubarry-du barry
mandymi-mandy mi
tümbir-tüm bir
•sosyal-• sosyal
amabir-ama bir
etbeni-et beni
isbirliği-is birliği
dopaminsalgılanmasını-dopamin salgılanmasını
aşkadamı-aşk adamı
amabiz-ama biz
blackberrymi-blackberry mi
burgerking-burger king
tüpgeçişin-tüp geçişin
halkarasındaki-halk arasındaki
elindesonunda-elinde sonunda
dirençolarak-direnç olarak
bellikonularda-belli konularda
onaltı-on altı
yatlimanında-yat limanında
gitonu-git onu
kurguolmayan-kurgu olmayan
veyasiyasi-veya siyasi
başaçıkabiliyor-başa çıkabiliyor
mikrokanallar-mikro kanallar
garymi-gary mi
gidermi-gider mi
arıbal-arı bal
açkurt-aç kurt
anadoluyakasındaki-anadolu yakasındaki
guzelki-guzel ki
çekmişhem-çekmiş hem
deathmach-death mach
yazmabir-yazma bir
önemlişeyler-önemli şeyler
neder-ne der
emalan-em alan
delibekir-deli bekir
şdeğil-ş değil
kadariyi-kadar iyi
gönülrahatlığı-gönül rahatlığı
kültürmüdürlüğü-kültür müdürlüğü
müdürmüdür-müdür müdür
enerjiverimli-enerji verimli
torbayasa-torba yasa
azerihalkına-azeri halkına
balonçocuk-balon çocuk
guzelmi-guzel mi
özelgün-özel gün
şudurki-şudur ki
incirağacı-incir ağacı
karalisteden-kara listeden
filmplatosu-film platosu
boktorbası-bok torbası
havahoş-hava hoş
edildiğibir-edildiği bir
merkeziprojesi-merkezi projesi
bibergazi-biber gazi
vahşikedi-vahşi kedi
armadakent-armada kent
geliyorbana-geliyor bana
oturacaktek-oturacak tek
tüpgeçişle-tüp geçişle
ekremerdem-ekrem erdem
ayraniçin-ayran için
ikizyatak-ikiz yatak
incisikonumunda-incisi konumunda
müspethareket-müspet hareket
amaben-ama ben
içigüzel-içi güzel
nehirkenarında-nehir kenarında
oaçıdan-o açıdan
botaşcup-botaş cup
engelişmiş-en gelişmiş
halismuhlis-halis muhlis
veözellikle-ve özellikle
cennetihaline-cenneti haline
trabzonspormaçında-trabzonspor maçında
alahli-al ahli
forummu-forum mu
birsiyasi-bir siyasi
güveninikazanmak-güvenini kazanmak
chinanews-china news
köyüyakınlarında-köyü yakınlarında
vartabi-var tabi
vekültürel-ve kültürel
boşdurmaz-boş durmaz
newhorizons-new horizons
üniversitesiaraştırmacıları-üniversitesi araştırmacıları
soruyok-soru yok
bunlaryeni-bunlar yeni
gönüldağı-gönül dağı
kangrubunu-kan grubunu
ileriteknolojik-ileri teknolojik
bloğumu-bloğu mu
birseymı-birsey mı
kılıçbey-kılıç bey
yapıyordiye-yapıyor diye
maviyol-mavi yol
hayatişte-hayat işte
bayramnamazına-bayram namazına
nevzattarhan-nevzat tarhan
kızlarburada-kızlar burada
şakayapar-şaka yapar
videohaber-video haber
networksolutions-network solutions
iletürk-ile türk
biadam-bi adam
öksürüktepe-öksürük tepe
vanminüt-van minüt
ağırşartlarda-ağır şartlarda
çünkükimse-çünkü kimse
sınırlararası-sınırlar arası
kangrubuna-kan grubuna
haloldu-hal oldu
azeritv-azeri tv
postsovyet-post sovyet
busebeple-bu sebeple
kiama-ki ama
ağıreleştiriler-ağır eleştiriler
savunanbirisi-savunan birisi
kopise-kop ise
havaiçinde-hava içinde
enson-en son
arapçakökenlidir-arapça kökenlidir
düşmanıve-düşmanı ve
erkekarkadaşımın-erkek arkadaşımın
havuzluparkın-havuzlu parkın
fpsmi-fps mi
altkimlik-alt kimlik
ndaha-n daha
etmeve-etme ve
kınaçiçeği-kına çiçeği
gittiğimizve-gittiğimiz ve
şeylerolduğunu-şeyler olduğunu
hiski-his ki
rtiçin-rt için
baskabırsey-baska bırsey
myphone-my phone
kapıağzında-kapı ağzında
megaşehirler-mega şehirler
geçenaylarda-geçen aylarda
hiççekinmeden-hiç çekinmeden
rekabetetmeme-rekabet etmeme
atleticomadridin-atletico madridin
neyapacağımı-ne yapacağımı
